top_movie,year,genre,score,tickets_sold,budget,gross,inflation_adjusted_gross
The Bourne Ultimatum,2007,Thriller or Suspense,74.0,120084032,130000000.0,826453022,1077153767
The Hateful Eight,2015,Western,77.0,3501919,62000000.0,29521197,31412213
Snatch,2001,Dark Comedy,78.0,10071918,10000000.0,57007068,90345104
50 First Dates,2004,Romantic Comedy,68.0,104925831,75000000.0,651589511,941184704
A Time to Kill,1996,Drama,74.0,310650329,40000000.0,1373074715,2786533451
Dark Shadows,2012,Dark Comedy,60.0,11623385,150000000.0,92522208,104261763
Warm Bodies,2013,Romantic Comedy,64.0,24261722,30000000.0,197247886,217627646
Transformers: Revenge of the Fallen,2009,Action,62.0,237119885,210000000.0,2041030428,2126965368
Batman Forever,1995,Action,54.0,241274531,100000000.0,1049544278,2164232543
Pitch Perfect 2,2015,Comedy,69.0,148452655,29000000.0,1293229974,1331620315
Liar Liar,1997,Comedy,66.0,282554475,45000000.0,1296925200,2534513641
Sully,2016,Drama,72.0,156363340,60000000.0,1360947564,1402579160
The Nice Guys,2016,Dark Comedy,71.0,5536337,50000000.0,49182952,49660943
American Hustle,2013,Dark Comedy,68.0,23206939,40000000.0,188672454,208166243
American Hustle,2014,Dark Comedy,68.0,22217499,40000000.0,181517016,199290966
Gravity,2013,Thriller or Suspense,72.0,140642010,110000000.0,1143419822,1261558830
Austin Powers: The Spy Who Shagged Me,1999,Comedy,63.0,266247647,35000000.0,1352538228,2388241394
There's Something About Mary,1998,Romantic Comedy,66.0,106776765,22000000.0,500783066,957787582
American Gangster,2007,Drama,76.0,178970159,100000000.0,1293722940,1605362326
Wild Hogs,2007,Comedy,59.0,203009299,60000000.0,1428122669,1820993412
Footloose,2011,Musical,67.0,9924084,24000000.0,84688775,89019033
Footloose,2011,Musical,67.0,9924084,8200000.0,84688775,89019033
Footloose,2011,Musical,66.0,9924084,24000000.0,84688775,89019033
Footloose,2011,Musical,66.0,9924084,8200000.0,84688775,89019033
The Dark Tower,2017,Western,57.0,6864560,66000000.0,61575125,61575103
Crazy Rich Asians,2018,Romantic Comedy,71.0,26869172,30000000.0,241016524,241016473
Twister,1996,Action,65.0,276623456,88000000.0,1222675745,2481312400
Hitch,2005,Romantic Comedy,66.0,68710713,55000000.0,440435727,616335096
Paranormal Activity 2,2010,Horror,57.0,62321234,3000000.0,531211616,559021469
Ace Ventura: When Nature Calls,1995,Comedy,63.0,241125423,30000000.0,1048895722,2162895044
Mary Poppins Returns,2018,Musical,65.0,46558012,130000000.0,417625409,417625368
Austin Powers in Goldmember,2002,Comedy,60.0,224711640,63000000.0,1305574866,2015663411
Million Dollar Baby,2005,Drama,80.0,221746950,30000000.0,1421398792,1989070142
Meet the Parents,2000,Comedy,67.0,275069272,55000000.0,1482623604,2467371370
Hairspray,2007,Musical,67.0,36163584,75000000.0,255937558,324387348
Hairspray,2007,Musical,69.0,36163584,75000000.0,255937558,324387348
Flightplan,2005,Thriller or Suspense,64.0,57524478,55000000.0,368731981,515994568
Girls Trip,2017,Comedy,68.0,87443925,28000000.0,784372296,784372007
How to Lose a Guy in 10 Days,2003,Romantic Comedy,67.0,82100406,50000000.0,495065519,736440642
What Women Want,2000,Romantic Comedy,64.0,69476556,65000000.0,374478694,623204707
Paranormal Activity 4,2012,Horror,54.0,38801926,5000000.0,308863451,348053276
Knocked Up,2007,Romantic Comedy,63.0,105730830,27500000.0,733929251,948405545
